Question,Answer
je,I
de,of
est,is
pas,not
le,the
vous,you
la,the
tu,you
que,that
un,a
il,he
et,and
Ã,to
a,has
ne,not
les,them
ce,this
en,in
on,we
Ã§a,that
une,a
ai,have
pour,to
des,of the
moi,me
qui,who
nous,we
y,Y
mais,but
me,me
dans,in
du,from
bien,Well
elle,she
si,if
tout,everything
plus,more
non,Nope
mon,my
suis,am
te,you
au,to
avec,with
va,goes
oui,yes
toi,you
fait,do
ils,they
as,AS
etre,to be
faire,To do
se,se
comme,as
Ã©tait,was
sur,on
quoi,what
ici,here
sais,know
lui,him
veux,want
ma,my
la,the
rien,nothing
dit,said
es,es
ou,where
votre,your
pourquoi,for what
sont,are
cette,this
quand,when
par,by
son,his
ton,your
peux,can
vais,go
dire,say
alors,then
comment,How? 'Or' What
avez,have
bon,Well
ou,Where
tres,very
merci,thank you
ont,have
meme,even
jamais,never
aussi,Also
voir,see
chose,thing
allez,go
tous,all
deux,of them
ces,these
faut,should
sa,her
etes,are
ete,summer
ta,your
fais,do
avoir,to have
peut,can
autre,other
m,M
encore,again
maintenant,now
peu,little
mes,my
vraiment,really
temps,time
notre,our
toujours,always
vie,life
sans,without
juste,just
oh,Oh
avait,had
accord,deal
vu,seen
monde,world
quelque,some
fois,time
aller,go
trop,too
viens,come
crois,believe
dieu,god
dois,must
homme,male
pere,dad
sÃ»r,safe
aux,to the
leur,their
avant,before
etais,is
besoin,need
femme,women
aime,love
personne,person
avais,had
chez,at the house of
ans,year
mal,wrong
ses,his
parler,to speak
vos,your
apres,after
mort,dead
veut,wants
eu,eu
sera,will be
bonne,good
parce,by
mieux,better
petit,small
voila,so
tes,your
ca,that
dis,say
beaucoup,many
depuis,since
doit,must
vois,see
mere,mother
vas,go
monsieur,sir
quel,what
deja,already
fille,daughter
gens,people
donc,So
jour,day
soir,evening
autres,others
ii,II
toute,all
bonjour,hello
ll,ll
maison,home
nom,name
argent,money
nos,our
ouais,yeah
pense,thought
merde,shit
nuit,night
papa,dad
cela,that
salut,Hi
cet,this
avons,have
reste,rest
dÃ©solÃ©,sorry
maman,mom
peur,fear
arrive,arrived
seul,Alone
vite,quickly
prendre,take
Question,Answer
